FillName;Ttitle;Group;Name;Group1
GSM555238;a10a.000606jd.2.SkMNor908.CEL-IS stimulate;IS_stimulate;IS_1;No_Db_stimulate
GSM555240;Run1.a10a.000606jd.2.SkMNor912.CEL-IS stimulate;IS_stimulate;IS_2;No_Db_stimulate
GSM555242;Run1.a10a.000607jd.2.SkMNor916.CEL-IS stimulate;IS_stimulate;IS_3;No_Db_stimulate
GSM555244;Run1.a10a.000607jd.2.SkMNor918.CEL-IS stimulate;IS_stimulate;IS_4;No_Db_stimulate
GSM555246;Run1.a10a.000607jd.2.SkMNor920.CEL-IS stimulate;IS_stimulate;IS_5;No_Db_stimulate
GSM555248;Run1.a10a.000607jd.2.SkMNor922.CEL-IS stimulate;IS_stimulate;IS_6;No_Db_stimulate
GSM555250;Run1.a10a.000608jd.2.SkMNor924.CEL-IS stimulate;IS_stimulate;IS_7;No_Db_stimulate
GSM555252;Run1.a10a.000608jd.2.SkMNor926.CEL-IS stimulate;IS_stimulate;IS_8;No_Db_stimulate
GSM555254;Run1.a10a.000609jd.2.SkMNor910.CEL-IS stimulate;IS_stimulate;IS_9;No_Db_stimulate
GSM555256;Run1.a10a.000609jd.2.SkMNor914.CEL-IS stimulate;IS_stimulate;IS_10;No_Db_stimulate
GSM555258;Run7.aUa.001206d.SkMInS1073D.CEL-IS stimulate;IS_stimulate;IS_11;No_Db_stimulate
GSM555260;Run7.aUa.001206d.SkMInS1075D.CEL-IS stimulate;IS_stimulate;IS_12;No_Db_stimulate
GSM555262;Run7.aUa.001206d.SkMInS1077D.CEL-IS stimulate;IS_stimulate;IS_13;No_Db_stimulate
GSM555264;Run7.aUa.001206d.SkMInS1079D.CEL-IS stimulate;IS_stimulate;IS_14;No_Db_stimulate
GSM555266;Run7.aUa.001206d.SkMInS1081D.CEL-IS stimulate;IS_stimulate;IS_15;No_Db_stimulate
GSM555268;Run7.aUa.001206d.SkMInS1083D.CEL-IS stimulate;IS_stimulate;IS_16;No_Db_stimulate
GSM555270;Run7.aUa.001206d.SkMInS1085D.CEL-IS stimulate;IS_stimulate;IS_17;No_Db_stimulate
GSM555272;Run2.aUa.001206d.SkMInS1087D.CEL-IS stimulate;IS_stimulate;IS_18;No_Db_stimulate
GSM555274;Run2.aUa.001206d.SkMInS1089D.CEL-IS stimulate;IS_stimulate;IS_19;No_Db_stimulate
GSM555276;Run7.aUa.001206d.SkMInS1091D.CEL-IS stimulate;IS_stimulate;IS_20;No_Db_stimulate
GSM555278;Run2.aUa.001206d.SkMInR1093D.CEL-IR stimulate;IR_stimulate;IR_1;No_Db_stimulate
GSM555280;Run2.aUa.001206d.SkMInR1095D.CEL-IR stimulate;IR_stimulate;IR_2;No_Db_stimulate
GSM555282;Run2.aUa.001206d.SkMInR1097D.CEL-IR stimulate;IR_stimulate;IR_3;No_Db_stimulate
GSM555284;Run2.aUa.001206d.SkMInR1099D.CEL-IR stimulate;IR_stimulate;IR_4;No_Db_stimulate
GSM555286;Run7.aUa.001206d.SkMInR1101D.CEL-IR stimulate;IR_stimulate;IR_5;No_Db_stimulate
GSM555288;Run2.aUa.001206d.SkMInR1103D.CEL-IR stimulate;IR_stimulate;IR_6;No_Db_stimulate
GSM555290;Run2.aUa.001206d.SkMInR1105D.CEL-IR stimulate;IR_stimulate;IR_7;No_Db_stimulate
GSM555292;Run7.aUa.001206d.SkMInR1107D.CEL-IR stimulate;IR_stimulate;IR_8;No_Db_stimulate
GSM555294;Run5.aUa.010110d.SkMInR1109D.CEL-IR stimulate;IR_stimulate;IR_9;No_Db_stimulate
GSM555296;Run5.aUa.010110d.SkMInR1111D.CEL-IR stimulate;IR_stimulate;IR_10;No_Db_stimulate
